Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG18 3,51.4103,-1.25327,452032,168184,SU520681,187,145,7111,2758,Thatcham,"RG13 4, RG19 3, RG18 4, RG13 3, RG19 4, RG18 9, RG19 8, RG19 6, RG16 9, RG13 2"
RG18 4,51.409,-1.23839,453068,168050,SU530680,125,98,4867,1821,Thatcham,"RG19 3, RG19 4, RG18 3, RG13 4, RG13 3, RG19 6, RG19 8, RG18 9, RG16 9, RG13 2"
RG18 9,51.4412,-1.25888,451607,171617,SU516716,287,227,6539,2167,Cold Ash,"RG16 9, RG18 3, RG13 4, RG13 3, RG19 3, RG18 4, RG20 6, RG19 4, RG19 8, RG18 0"
RG19 3,51.4056,-1.24283,452764,167669,SU527676,208,142,7051,2932,Thatcham,"RG18 4, RG19 4, RG18 3, RG13 4, RG13 3, RG19 6, RG19 8, RG18 9, RG16 9, RG13 2"
RG19 4,51.4007,-1.23415,453373,167130,SU533671,225,163,6465,2607,Thatcham,"RG18 4, RG19 3, RG19 6, RG13 4, RG18 3, RG13 3, RG19 8, RG18 9, RG15 8, RG16 9"
RG19 6,51.3922,-1.22375,454106,166193,SU541661,27,15,,,Bishop's Green,"RG19 4, RG18 4, RG19 3, RG13 4, RG18 3, RG19 8, RG13 3, RG15 8, RG18 9, RG7 6"
RG19 8,51.3731,-1.25439,451996,164046,SU519640,186,151,3400,1290,Newbury,"RG15 8, RG13 4, RG18 3, RG20 5, RG19 3, RG20 4, RG19 4, RG13 3, RG19 6, RG18 4"
RG19 9,51.4079,-1.14328,459685,168001,SU596680,217,18,,,Thatcham,"RG7 5, RG7 4, RG7 8, RG26 4, RG7 6, RG26 6, RG26 9, RG26 3, RG18 4, RG19 6"
RG20 0,51.3728,-1.39036,442532,163925,SU425639,147,128,2059,801,Ball Hill,"RG15 0, RG20 9, RG15 9, RG14 6, RG17 9, RG14 7, RG14 9, RG14 1, RG13 1, RG14 5"
RG20 4,51.3525,-1.28003,450234,161738,SU502617,90,64,1227,459,Newbury,"RG15 8, RG20 5, RG19 8, RG13 3, RG20 9, RG14 9, RG13 4, RG14 7, RG15 9, RG18 3"
